date,indiv_ID,bodymass_7th_instar_j0_ww,bodymass_7th_instar_j0_dw,indiv_water_content
23/11/2021,IC-w5-1,276.4,,
23/11/2021,IC-w5-2,450.4,,
23/11/2021,IC-w5-3,334.2,,
23/11/2021,IC-w5-4,353.4,,
23/11/2021,IC-w5-5,239.3,,
11/01/2022,IC-w6-1,231.3,37.2,
11/01/2022,IC-w6-2,350,55.9,
11/01/2022,IC-w6-3,240.4,39.3,
11/01/2022,IC-w6-4,234.3,32.9,
11/01/2022,IC-w6-5,231.8,34.5,
18/01/2022,IC-w7-1,280.7,,
18/01/2022,IC-w7-2,202.7,,
18/01/2022,IC-w7-3,190.7,,
18/01/2022,IC-w7-4,202.1,,
18/01/2022,IC-w7-5,141.6,,
25/01/2022,IC-w8-1,296.7,,
25/01/2022,IC-w8-2,197.2,,
25/01/2022,IC-w8-3,241.6,,
25/01/2022,IC-w8-4,267.5,,
NA,IC-w8-5,NA,NA,NA
,IC-w9-1,,,
,IC-w9-2,,,
,IC-w9-3,,,
,IC-w9-4,,,
,IC-w9-5,,,
,IC-w10-1,,,
,IC-w10-2,,,
,IC-w10-3,,,
,IC-w10-4,,,
,IC-w10-5,,,
